"cell_type","temporal_label","temporal_id","broad_temp","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC","ozel2021_cluster","putative_hl1","putative_hl2","putative_hl3"
"Tm5e","Erm/Ey",4,"Early",0,1,0,0,1,0,"Y","Color","Notch Off","Y","Color","projection",FALSE,26,"N","N","N"
"Tm9","Erm/Ey",4,"Early",0,1,1,0,1,1,"Y","Motion","Notch On","N","Motion","projection",FALSE,227,"N","N","N"
"TmY3","Erm/Ey",4,"Early",0,1,1,1,1,0,"Y","Object","Notch On","N","Object","projection",FALSE,119,"N","N","N"
"TmY5a","Erm/Ey",4,"Early",0,1,0,0,1,0,"Y","Object","Notch Off","N","Object","projection",FALSE,42,"N","N","N"
"Dm10","Ey/Hbn",5,"Early",0,1,0,0,0,0,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE,15,"N","N","N"
"Tm2","Ey/Hbn",5,"Early",1,1,1,1,1,1,"Y","Motion","Notch On","N","Motion","projection",FALSE,118,"N","N","N"
"Tm21","Ey/Hbn",5,"Early",1,1,1,1,1,1,"Y","Object","Notch On","N","Object","projection",FALSE,62,"N","N","N"
"Dm1","Hbn/Opa/Slp",6,"Late",0,1,0,0,0,0,"Y","Motion","Notch Off","N","Motion","intrinsic",FALSE,14,"N","N","N"
"Dm11","Hbn/Opa/Slp",6,"Late",0,0,0,0,1,1,"Y","Color","Notch Off","N","Color","intrinsic",FALSE,136,"N","N","N"
"Dm12","Hbn/Opa/Slp",6,"Late",1,1,0,0,0,0,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE,12,"N","N","N"
"Dm4","Hbn/Opa/Slp",6,"Late",1,1,0,0,0,0,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE,9,"N","N","N"
"Dm8a","Hbn/Opa/Slp",6,"Late",0,1,0,0,0,0,"Y","Color","Notch Off","N","Color","intrinsic",FALSE,19,"N","N","N"
"Dm8b","Hbn/Opa/Slp",6,"Late",0,1,0,0,0,0,"Y","Color","Notch Off","N","Color","intrinsic",FALSE,19,"N","N","N"
"Dm9","Hbn/Opa/Slp",6,"Late",1,1,0,0,1,1,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE,144,"N","N","N"
"DmDRA1","Hbn/Opa/Slp",6,"Late",0,0,0,0,0,1,"Y","Polarization","Notch Off","N","Polarization","intrinsic",FALSE,136,"N","N","N"
"DmDRA2","Hbn/Opa/Slp",6,"Late",0,0,0,0,0,1,"Y","Color","Notch Off","N","Color","intrinsic",FALSE,136,"N","N","N"
"Lai","Hbn/Opa/Slp",6,"Late",1,0,0,0,0,1,"Y","Motion","Notch Off","N","Motion","intrinsic",FALSE,145,"N","N","N"
"Li06","Hbn/Opa/Slp",6,"Late",0,0,0,1,1,0,"Y","Color","Notch On","Y","Color","projection",FALSE,69,"N","N","N"
"MTe01a","Hbn/Opa/Slp",6,"Late",0,0,1,1,1,0,"Y","Unannotated","Notch Off","N","Unannotated","projection",FALSE,30,"N","N","N"
"Sm03","Hbn/Opa/Slp",6,"Late",0,0,1,0,0,0,"Y","Color","Notch Off","Y","Color","intrinsic",FALSE,38,"N","N","N"
"Tm20","Hbn/Opa/Slp",6,"Late",0,0,0,0,1,0,"Y","Color","Notch On","N","Color","projection",FALSE,61,"N","N","N"
"Tm25","Hbn/Opa/Slp",6,"Late",0,0,0,1,1,0,"Y","Object","Notch On","N","Object","projection",FALSE,71,"N","N","N"
"Tm5a","Hbn/Opa/Slp",6,"Late",0,0,0,1,1,0,"Y","Color","Notch On","N","Color","projection",FALSE,104,"N","N","N"
